zip_code,value,latitude,longitude
21229,135,39.2856,-76.6899
90004,135,34.0762,-118.3029
89044,134,35.9025,-115.1789
30168,134,33.7838,-84.5952
19120,134,40.0343,-75.1213
89149,134,36.2765,-115.2885
92584,134,33.6647,-117.1743
20601,134,38.6371,-76.8778
34249,134,27.2664,-82.4841
89129,133,36.245,-115.2743
10040,133,40.8583,-73.9296
30132,133,33.9163,-84.8278
91606,133,34.1872,-118.3865
02780,133,41.905,-71.1026
07087,133,40.7674,-74.0323
90731,133,33.7339,-118.2914
60620,133,41.7411,-87.6543
11214,133,40.6016,-73.9968
33012,132,25.8654,-80.3059
91604,132,34.143,-118.3913
92782,132,33.7346,-117.7869
90262,132,33.9241,-118.2013
06606,132,41.2091,-73.2086
33027,132,25.9974,-80.3248
11239,132,40.6497,-73.8824
77083,132,29.6947,-95.6511
02124,132,42.2918,-71.0717
02151,131,42.4138,-71.0052
30152,131,33.9951,-84.6544
33545,131,28.2697,-82.2903
23435,131,36.8544,-76.4664
30084,131,33.857,-84.216
90038,131,34.0898,-118.3215
33629,130,27.921,-82.5079
23223,130,37.5477,-77.3948
92707,130,33.7086,-117.8701
28205,130,35.22,-80.7881
77469,130,29.5511,-95.7329
91364,130,34.1557,-118.6
02136,129,42.254,-71.1261
75248,129,32.9682,-96.7942
92602,129,33.7419,-117.7467
77070,128,29.9781,-95.5803
33319,128,26.1848,-80.2406
91764,128,34.0763,-117.6254
30319,128,33.8687,-84.3351
96706,128,21.3274,-158.0103
27713,128,35.9112,-78.9178
12550,127,41.5372,-74.0526
33173,127,25.6992,-80.3618
92376,127,34.1132,-117.3771
07011,127,40.8789,-74.1425
92120,127,32.7958,-117.0707
77025,127,29.6889,-95.4341
95834,127,38.6383,-121.5072
20785,127,38.9223,-76.8755
70065,127,30.0252,-90.2522
22204,126,38.859,-77.0997
33021,126,26.0218,-80.1891
75010,126,33.0304,-96.8777
70127,126,30.0313,-89.9758
02149,126,42.4112,-71.0514
91206,126,34.1556,-118.2322
33467,126,26.6104,-80.1683
94561,126,37.994,-121.7036
27587,126,35.9815,-78.5392
94534,126,38.2423,-122.1314
30008,126,33.8972,-84.592
27545,126,35.7789,-78.4898
11552,125,40.6929,-73.6539
33311,125,26.1421,-80.1728
10305,125,40.5973,-74.0768
90703,125,33.8669,-118.0686
90026,125,34.0766,-118.2646
30909,125,33.4717,-82.0834
70791,124,30.6561,-91.1358
30060,124,33.9382,-84.5403
30341,124,33.8879,-84.2905
39157,124,32.4122,-90.1207
75231,123,32.8756,-96.7495
33056,123,25.942,-80.2456
02155,123,42.4173,-71.1087
20747,123,38.8539,-76.8891
21220,123,39.3401,-76.4153
33304,123,26.1387,-80.1218
33619,123,27.9382,-82.3756
33414,123,26.6587,-80.2414
33133,123,25.7378,-80.2248
92805,123,33.8359,-117.9086
91910,122,32.6371,-117.0676
77082,122,29.7223,-95.6285
07055,122,40.8601,-74.1283
70056,122,29.8872,-90.0331
10025,122,40.7975,-73.9683
33125,122,25.7825,-80.2341
70726,122,30.459,-90.9027
91302,121,34.1419,-118.6641
07306,121,40.7321,-74.066
22312,121,38.8191,-77.1484
20715,121,38.9797,-76.7435
33076,121,26.3168,-80.2753
01844,121,42.728,-71.181
75146,121,32.5914,-96.7728
30344,121,33.6919,-84.448
91403,121,34.1514,-118.4603
10022,120,40.7571,-73.9657
75074,120,33.0277,-96.6777
11701,120,40.6842,-73.4171
91607,120,34.1672,-118.3989
28025,120,35.3716,-80.53
07205,120,40.6968,-74.2281
77009,120,29.7936,-95.3675
27405,119,36.1214,-79.7733
19138,119,40.0568,-75.1569
11575,119,40.6802,-73.5867
92507,119,33.9761,-117.3389
07013,119,40.8693,-74.1711
19804,119,39.7168,-75.6184
90005,119,34.0585,-118.3012
33314,119,26.0697,-80.2246
95136,119,37.2685,-121.849
89183,119,35.9959,-115.1576
11706,119,40.7051,-73.243
70817,119,30.3904,-91.0021
60647,119,41.9209,-87.7043
11704,118,40.7135,-73.3546
22030,118,38.8458,-77.3242
11102,118,40.7706,-73.9265
07208,118,40.6747,-74.2239
60601,118,41.8858,-87.6181
19027,118,40.075,-75.1315
90255,118,33.9769,-118.2161
10460,117,40.8409,-73.8794
76002,117,32.6255,-97.0784
33033,117,25.4906,-80.438
33315,117,26.0989,-80.1541
75154,117,32.5185,-96.8071
07621,117,40.9238,-73.9989
19144,117,40.0338,-75.1731
33138,117,25.8521,-80.1821
77469,117,29.5511,-95.7329
90303,117,33.9377,-118.3321
77573,117,29.5173,-95.0963
33166,116,25.8301,-80.2926
91202,116,34.1652,-118.2656
32837,116,28.3949,-81.4179
11691,116,40.6006,-73.758
