zip_code,value,latitude,longitude
92127,67,33.0279,-117.0856
92868,66,33.7875,-117.8776
94014,66,37.6875,-122.4388
92122,66,32.8577,-117.2115
93619,66,36.8432,-119.6518
90002,66,33.9497,-118.2462
90806,66,33.8045,-118.1876
91381,66,34.3775,-118.6131
94509,65,37.9939,-121.8089
90744,65,33.7855,-118.2645
91326,65,34.2619,-118.582
91402,65,34.2262,-118.447
91770,65,34.0658,-118.0853
92139,65,32.6806,-117.0474
93458,64,34.9535,-120.4957
90094,64,33.9728,-118.4276
93534,64,34.6909,-118.1491
91344,64,34.2771,-118.4992
93906,64,36.7103,-121.6438
93306,64,35.3867,-118.9391
91752,64,33.9938,-117.5236
94538,64,37.5308,-121.9712
94582,64,37.7636,-121.9155
94597,64,37.9182,-122.0717
92064,64,32.9756,-117.0402
95050,64,37.3492,-121.953
92806,63,33.8356,-117.8681
91950,62,32.6749,-117.0897
90046,62,34.1074,-118.3652
92104,62,32.7454,-117.1272
95363,62,37.4826,-121.1648
90006,62,34.0493,-118.2917
92109,61,32.7969,-117.2405
92708,61,33.7102,-117.9503
92057,61,33.2407,-117.3025
95051,61,37.3483,-121.9844
90232,61,34.0168,-118.3973
95116,61,37.3518,-121.8508
94503,61,38.1668,-122.2553
91602,61,34.151,-118.3663
92804,61,33.8186,-117.9729
91304,61,34.2197,-118.6111
90031,60,34.0783,-118.2113
92124,60,32.8201,-117.0986
90270,60,33.989,-118.1877
90277,60,33.8307,-118.3832
94112,60,37.7195,-122.4411
95391,60,37.7695,-121.5397
90094,60,33.9728,-118.4276
92867,60,33.811,-117.8493
94560,60,37.5368,-122.032
90065,60,34.1073,-118.2266
92345,60,34.4222,-117.3025
91356,60,34.1671,-118.5414
92506,59,33.9455,-117.3757
90057,59,34.0622,-118.2763
91978,59,32.7329,-116.9596
94521,59,37.9575,-121.975
94403,59,37.5395,-122.2998
90042,59,34.1145,-118.1929
92115,59,32.7607,-117.0721
95691,58,38.5673,-121.5516
91506,58,34.1717,-118.3231
92102,58,32.7139,-117.1219
95330,58,37.8209,-121.2827
91381,58,34.3775,-118.6131
94603,58,37.7402,-122.171
92058,58,33.1959,-117.3795
94122,58,37.7593,-122.4836
92692,58,33.6144,-117.6433
92105,58,32.7423,-117.0947
94103,58,37.7725,-122.4147
91790,57,34.0673,-117.9366
94585,57,38.2408,-122.042
94086,57,37.3764,-122.0238
95037,57,37.1353,-121.6501
95008,57,37.2803,-121.9539
90602,57,33.9693,-118.0337
90404,56,34.0268,-118.4733
95678,56,38.7609,-121.2867
91354,56,34.4466,-118.5374
94124,56,37.7309,-122.3886
92024,56,33.0535,-117.2689
95111,56,37.2827,-121.8265
94107,56,37.7621,-122.3971
94066,56,37.6247,-122.429
93036,56,34.2351,-119.182
92630,55,33.6437,-117.6868
91355,55,34.3985,-118.5535
90803,55,33.7619,-118.1341
92551,55,33.8814,-117.2261
91914,54,32.6587,-116.9652
90604,54,33.9299,-118.0121
91354,54,34.4466,-118.5374
94109,54,37.7917,-122.4186
94505,54,37.8989,-121.6054
94590,54,38.1053,-122.2474
95122,54,37.3293,-121.8339
94536,54,37.5605,-121.9999
90601,54,34.0011,-118.0371
95337,53,37.7808,-121.2344
94553,53,37.9864,-122.135
91208,53,34.1921,-118.235
92821,53,33.9291,-117.8845
92508,53,33.8897,-117.3043
95404,53,38.4405,-122.7144
95831,53,38.4962,-121.5297
92234,52,33.8098,-116.4665
93063,52,34.3046,-118.6844
95816,52,38.5728,-121.4675
90003,52,33.9653,-118.2727
93312,52,35.3935,-119.1205
95023,51,36.8337,-121.3439
92663,51,33.621,-117.9321
94518,51,37.9504,-122.0263
91335,51,34.2007,-118.5391
92103,51,32.7466,-117.1636
92111,51,32.7972,-117.1708
90067,51,34.0551,-118.4095
95124,51,37.2563,-121.9229
92629,51,33.4743,-117.6964
94546,50,37.7015,-122.0782
91740,50,34.1287,-117.8552
93314,50,35.3863,-119.17
92801,50,33.8428,-117.9546
90248,50,33.8766,-118.2835
90029,50,34.09,-118.2944
90813,50,33.782,-118.1835
92840,50,33.7869,-117.9273
92881,50,33.8241,-117.5198
91040,49,34.2618,-118.3371
91701,49,34.1376,-117.5999
92117,49,32.8239,-117.1965
94063,49,37.4815,-122.2091
93455,49,34.8286,-120.4268
91724,49,34.0938,-117.856
91352,49,34.2209,-118.3699
92116,49,32.7624,-117.1242
91791,49,34.0653,-117.8978
94806,49,37.9724,-122.3369
91303,49,34.1993,-118.5983
93291,49,36.3551,-119.301
90606,48,33.9777,-118.0658
91763,48,34.0733,-117.6987
92113,48,32.697,-117.1153
92026,48,33.1605,-117.0978
93637,48,36.9403,-120.082
92886,48,33.9058,-117.7865
90021,48,34.0333,-118.2447
95822,48,38.5091,-121.4935
91342,47,34.3054,-118.4322
92394,47,34.5563,-117.3528
93030,47,34.2141,-119.175
93010,47,34.2313,-119.0464
93711,47,36.8303,-119.8319
90245,47,33.9243,-118.4119
93550,47,34.4133,-118.0917
92833,47,33.8766,-117.9551
90063,47,34.0451,-118.1859
92585,47,33.7467,-117.1721
94583,47,37.7562,-121.9522
90032,47,34.0818,-118.1753
90810,47,33.8193,-118.2325
91423,46,34.1526,-118.4322
92020,46,32.7928,-116.9665
95126,46,37.3249,-121.9153
91311,46,34.2583,-118.5914
95207,46,38.0024,-121.3238
91737,46,34.1467,-117.5803
92780,46,33.7364,-117.8229
92703,45,33.7489,-117.9072
94589,45,38.1582,-122.2804
94565,45,38.0031,-121.9172
91750,45,34.1159,-117.7708
92657,45,33.5943,-117.8334
92807,45,33.8544,-117.7858
90039,45,34.1121,-118.2594
94580,44,37.6787,-122.1295
92887,44,33.8841,-117.7304
94621,44,37.7589,-122.1853
91604,44,34.143,-118.3913
92128,44,33.0067,-117.069
93309,44,35.3384,-119.0627
90603,44,33.9432,-117.9927
94806,43,37.9724,-122.3369
90405,43,34.01,-118.4717
91362,43,34.1948,-118.8232
92346,43,34.1283,-117.2087
91607,43,34.1672,-118.3989
91780,43,34.1016,-118.0537
95110,43,37.3391,-121.9016
95820,43,38.5347,-121.4451
93611,42,36.8253,-119.6802
90670,42,33.9464,-118.0838
95826,42,38.5539,-121.3693
91304,42,34.2197,-118.6111
91606,42,34.1872,-118.3865
91776,42,34.089,-118.0955
91331,42,34.2556,-118.4208
90755,42,33.8029,-118.1677
91945,42,32.7332,-117.0326
92129,42,32.9652,-117.1213
90814,42,33.7716,-118.148
92253,42,33.6685,-116.3081
90504,42,33.8708,-118.3295
95677,41,38.7877,-121.2366
94513,41,37.9324,-121.6894
92131,41,32.9123,-117.0898
92084,41,33.2131,-117.2243
92071,41,32.8486,-116.9862
92404,41,34.1426,-117.2606
91411,41,34.1781,-118.4574
91902,41,32.6671,-117.0221
90265,41,34.0402,-118.7351
91351,41,34.4262,-118.449
91765,41,34.0066,-117.8098
94710,41,37.8696,-122.2959
95407,41,38.4089,-122.7339
95829,41,38.4689,-121.344
91789,40,34.0183,-117.8546
91605,40,34.2057,-118.4001
93552,40,34.5715,-118.0231
92107,40,32.7425,-117.2433
90001,40,33.9731,-118.2479
91401,40,34.1802,-118.4324
95608,40,38.6284,-121.3287
93274,40,36.2022,-119.338
91792,40,34.0229,-117.8975
94134,39,37.719,-122.4096
95815,39,38.6093,-121.4443
90275,39,33.7515,-118.367
95382,39,37.5239,-120.8517
92802,39,33.8085,-117.9228
95688,39,38.3847,-121.9887
90701,39,33.8654,-118.0731
92313,39,34.031,-117.3129
90403,39,34.0287,-118.4924
